"","epoch","accuracy","loss","algorithm"
"1",0,0.884607823864753,0.884607823864753,"dft"
"2",1,1.04187143699626,1.04187143699626,"dft"
"3",2,1.29742480833497,1.29742480833497,"dft"
"4",3,1.65126793788087,1.65126793788087,"dft"
"5",4,2.3196382936898,2.3196382936898,"dft"
"6",5,3.06664045606448,3.06664045606448,"dft"
"7",6,4.20680165126794,4.20680165126794,"dft"
"8",7,5.22901513662276,5.22901513662276,"dft"
"9",8,5.85806958914881,5.85806958914881,"dft"
"10",9,6.70336150973069,6.70336150973069,"dft"
"11",10,7.27344210733242,7.27344210733242,"dft"
"12",11,7.90249655985846,7.90249655985846,"dft"
"13",12,8.33497149597012,8.33497149597012,"dft"
"14",13,8.80676233536466,8.80676233536466,"dft"
"15",14,9.27855317475919,9.27855317475919,"dft"
"16",15,9.73068606251229,9.73068606251229,"dft"
"17",16,10.1828189502654,10.1828189502654,"dft"
"18",17,10.7332415962257,10.7332415962257,"dft"
"19",18,11.0870847257716,11.0870847257716,"dft"
"20",19,11.3819540003932,11.3819540003932,"dft"
"21",20,11.7554550815805,11.7554550815805,"dft"
"22",21,11.8734027914291,11.8734027914291,"dft"
"23",22,12.2075879693336,12.2075879693336,"dft"
"24",23,12.5221151955966,12.5221151955966,"dft"
"25",24,12.895616276784,12.895616276784,"dft"
"26",25,13.0528798899155,13.0528798899155,"dft"
"27",26,13.2691173579713,13.2691173579713,"dft"
"28",27,13.5050127776686,13.5050127776686,"dft"
"29",28,13.7409081973658,13.7409081973658,"dft"
"30",29,14.016119520346,14.016119520346,"dft"
"31",30,14.1144092785532,14.1144092785532,"dft"
"32",31,14.3896206015333,14.3896206015333,"dft"
"33",32,14.4879103597405,14.4879103597405,"dft"
"34",33,14.645173972872,14.645173972872,"dft"
"35",34,14.822095537645,14.822095537645,"dft"
"36",35,15.0973068606251,15.0973068606251,"dft"
"37",36,15.313544328681,15.313544328681,"dft"
"38",37,15.4708079418125,15.4708079418125,"dft"
"39",38,15.6477295065854,15.6477295065854,"dft"
"40",39,15.8639669746412,15.8639669746412,"dft"
"41",40,15.9819146844899,15.9819146844899,"dft"
"42",41,16.0998623943385,16.0998623943385,"dft"
"43",42,16.2767839591115,16.2767839591115,"dft"
"44",43,16.5519952820916,16.5519952820916,"dft"
"45",44,16.7289168468646,16.7289168468646,"dft"
"46",45,16.9648122665618,16.9648122665618,"dft"
"47",46,17.1417338313348,17.1417338313348,"dft"
"48",47,17.2989974444663,17.2989974444663,"dft"
"49",48,17.4562610575978,17.4562610575978,"dft"
"50",49,17.7511303322194,17.7511303322194,"dft"
"51",50,17.8101041871437,17.8101041871437,"dft"
"52",51,17.9083939453509,17.9083939453509,"dft"
"53",52,18.0853155101238,18.0853155101238,"dft"
"54",53,18.1639473166896,18.1639473166896,"dft"
"55",54,18.2622370748968,18.2622370748968,"dft"
"56",55,18.3801847847454,18.3801847847454,"dft"
"57",56,18.4588165913112,18.4588165913112,"dft"
"58",57,18.5374483978769,18.5374483978769,"dft"
"59",58,18.7536858659328,18.7536858659328,"dft"
"60",59,18.8912915274228,18.8912915274228,"dft"
"61",60,18.9699233339886,18.9699233339886,"dft"
"62",61,19.0288971889129,19.0288971889129,"dft"
"63",62,19.1468448987616,19.1468448987616,"dft"
"64",63,19.3237664635345,19.3237664635345,"dft"
"65",64,19.4023982701003,19.4023982701003,"dft"
"66",65,19.5203459799489,19.5203459799489,"dft"
"67",66,19.6382936897975,19.6382936897975,"dft"
"68",67,19.8152152545705,19.8152152545705,"dft"
"69",68,19.9135050127777,19.9135050127777,"dft"
"70",69,20.0314527226263,20.0314527226263,"dft"
"71",70,20.0707686259092,20.0707686259092,"dft"
"72",71,20.1690583841164,20.1690583841164,"dft"
"73",72,20.2673481423236,20.2673481423236,"dft"
"74",73,20.3459799488893,20.3459799488893,"dft"
"75",74,20.4442697070965,20.4442697070965,"dft"
"76",75,20.5622174169452,20.5622174169452,"dft"
"77",76,20.5818753685866,20.5818753685866,"dft"
"78",77,20.6801651267938,20.6801651267938,"dft"
"79",78,20.7194810300767,20.7194810300767,"dft"
"80",79,20.8374287399253,20.8374287399253,"dft"
"81",80,20.8964025948496,20.8964025948496,"dft"
"82",81,20.9750344014154,20.9750344014154,"dft"
"83",82,21.092982111264,21.092982111264,"dft"
"84",83,21.1912718694712,21.1912718694712,"dft"
"85",84,21.2502457243955,21.2502457243955,"dft"
"86",85,21.3485354826027,21.3485354826027,"dft"
"87",86,21.407509337527,21.407509337527,"dft"
"88",87,21.4861411440928,21.4861411440928,"dft"
"89",88,21.6434047572243,21.6434047572243,"dft"
"90",89,21.6630627088657,21.6630627088657,"dft"
"91",90,21.7810104187144,21.7810104187144,"dft"
"92",91,21.8596422252801,21.8596422252801,"dft"
"93",92,21.9579319834873,21.9579319834873,"dft"
"94",93,21.9775899351288,21.9775899351288,"dft"
"95",94,21.9972478867702,21.9972478867702,"dft"
"96",95,22.0169058384116,22.0169058384116,"dft"
"97",96,22.1348535482603,22.1348535482603,"dft"
"98",97,22.213485354826,22.213485354826,"dft"
"99",98,22.2724592097503,22.2724592097503,"dft"
