epoch,accuracy,auc,false_negatives,false_positives,loss,precision,recall,true_negatives,true_positives,val_accuracy,val_auc,val_false_negatives,val_false_positives,val_loss,val_precision,val_recall,val_true_negatives,val_true_positives
0,0.843539297580719,0.5282710790634155,30.0,527.0,0.6627151966094971,0.0056603774428367615,0.09090909361839294,3000.0,3.0,0.9043877124786377,0.3269861936569214,4.0,142.0,0.6293032765388489,0.0,0.0,1381.0,0.0
1,0.9117977619171143,0.5154780149459839,29.0,285.0,0.5997868180274963,0.013840830884873867,0.12121212482452393,3242.0,4.0,0.9155206084251404,0.3079448342323303,4.0,125.0,0.5679260492324829,0.0,0.0,1398.0,0.0
2,0.917977511882782,0.516345739364624,29.0,263.0,0.5402858257293701,0.01498127356171608,0.12121212482452393,3264.0,4.0,0.9233791828155518,0.3154136538505554,4.0,113.0,0.5085113644599915,0.0,0.0,1410.0,0.0
3,0.9261236190795898,0.5521002411842346,29.0,234.0,0.4819026589393616,0.016806723549962044,0.12121212482452393,3293.0,4.0,0.9305828213691711,0.312787264585495,4.0,102.0,0.449585884809494,0.0,0.0,1421.0,0.0
4,0.9314606785774231,0.5586686134338379,31.0,213.0,0.4238930940628052,0.009302325546741486,0.06060606241226196,3314.0,2.0,0.9384413957595825,0.3064674735069275,4.0,90.0,0.39089640974998474,0.0,0.0,1433.0,0.0
5,0.9356741309165955,0.5746235251426697,32.0,197.0,0.3666686415672302,0.005050505045801401,0.03030303120613098,3330.0,1.0,0.943025529384613,0.2966185212135315,4.0,83.0,0.3335093557834625,0.0,0.0,1440.0,0.0
6,0.940168559551239,0.5886580348014832,32.0,181.0,0.31159475445747375,0.005494505632668734,0.03030303120613098,3346.0,1.0,0.9456450343132019,0.29883453249931335,4.0,79.0,0.27892202138900757,0.0,0.0,1444.0,0.0
7,0.9443820118904114,0.5772611498832703,33.0,165.0,0.2608838975429535,0.0,0.0,3362.0,0.0,0.9515389800071716,0.288411021232605,4.0,70.0,0.2295512855052948,0.0,0.0,1453.0,0.0
8,0.949438214302063,0.5886709690093994,33.0,147.0,0.21591819822788239,0.0,0.0,3380.0,0.0,0.9561231136322021,0.2773309350013733,4.0,63.0,0.18651098012924194,0.0,0.0,1460.0,0.0
9,0.9553371071815491,0.5914503931999207,33.0,126.0,0.17813313007354736,0.0,0.0,3401.0,0.0,0.9580877423286438,0.28209125995635986,4.0,60.0,0.1507578343153,0.0,0.0,1463.0,0.0
